date_time,El%20Salvador_maxtempC,El%20Salvador_mintempC,El%20Salvador_totalSnow_cm,El%20Salvador_sunHour,El%20Salvador_uvIndex,El%20Salvador_moon_illumination,El%20Salvador_moonrise,El%20Salvador_moonset,El%20Salvador_sunrise,El%20Salvador_sunset,El%20Salvador_DewPointC,El%20Salvador_FeelsLikeC,El%20Salvador_HeatIndexC,El%20Salvador_WindChillC,El%20Salvador_WindGustKmph,El%20Salvador_cloudcover,El%20Salvador_humidity,El%20Salvador_precipMM,El%20Salvador_pressure,El%20Salvador_tempC,El%20Salvador_visibility,El%20Salvador_winddirDegree,El%20Salvador_windspeedKmph,El%20Salvador_location
2020-04-02,32,21,0.0,7.9,6,64,01:00 PM,01:20 AM,05:52 AM,06:09 PM,20,29,29,27,7,81,71,8.4,1011,32,9,162,5,El%20Salvador
2020-04-03,32,21,0.0,11.8,6,71,02:00 PM,02:14 AM,05:51 AM,06:09 PM,20,29,29,27,7,54,72,3.7,1011,32,10,164,6,El%20Salvador
2020-04-04,31,22,0.0,9.2,6,79,03:01 PM,03:07 AM,05:51 AM,06:09 PM,21,28,28,26,8,76,75,5.4,1010,31,9,239,6,El%20Salvador
2020-04-05,32,22,0.0,10.5,6,87,04:02 PM,03:57 AM,05:50 AM,06:09 PM,21,29,29,26,7,56,74,7.3,1010,32,9,118,5,El%20Salvador
2020-04-06,33,23,0.0,12.6,6,94,05:03 PM,04:46 AM,05:49 AM,06:09 PM,22,30,30,27,6,29,75,4.8,1012,33,9,134,5,El%20Salvador
2020-04-07,38,23,0.0,12.6,8,100,06:03 PM,05:34 AM,05:49 AM,06:09 PM,21,32,32,29,5,6,66,0.0,1012,38,10,167,4,El%20Salvador
2020-04-08,37,24,0.0,12.6,8,100,07:04 PM,06:21 AM,05:48 AM,06:09 PM,21,33,33,31,5,4,63,0.0,1011,37,10,185,4,El%20Salvador
2020-04-09,37,23,0.0,12.6,8,83,08:05 PM,07:10 AM,05:47 AM,06:09 PM,21,32,32,30,6,9,67,0.0,1011,37,10,163,5,El%20Salvador
2020-04-10,37,23,0.0,12.6,8,76,09:06 PM,08:00 AM,05:47 AM,06:09 PM,21,31,31,29,7,14,69,0.0,1010,37,10,180,6,El%20Salvador
2020-04-11,35,23,0.0,10.5,7,68,10:07 PM,08:53 AM,05:46 AM,06:10 PM,20,31,31,29,8,53,68,2.5,1011,35,10,178,6,El%20Salvador
2020-04-12,34,23,0.0,12.7,7,61,11:07 PM,09:47 AM,05:45 AM,06:10 PM,20,29,29,27,8,21,67,0.2,1012,34,10,189,6,El%20Salvador
2020-04-13,35,23,0.0,12.7,8,53,No moonrise,10:42 AM,05:45 AM,06:10 PM,19,31,31,29,7,21,62,0.0,1013,35,10,200,5,El%20Salvador
2020-04-14,37,24,0.0,12.7,7,46,12:02 AM,11:38 AM,05:44 AM,06:10 PM,20,30,30,28,6,42,64,0.2,1012,37,10,194,5,El%20Salvador
2020-04-15,36,24,0.0,12.7,6,38,12:54 AM,12:31 PM,05:44 AM,06:10 PM,20,30,30,28,7,38,65,2.6,1011,36,10,195,6,El%20Salvador
2020-04-16,36,23,0.0,11.9,6,30,01:42 AM,01:24 PM,05:43 AM,06:10 PM,20,30,30,28,6,51,68,8.1,1012,36,9,180,5,El%20Salvador
2020-04-17,35,24,0.0,12.7,7,23,02:25 AM,02:13 PM,05:42 AM,06:10 PM,19,31,31,29,6,34,62,0.2,1013,35,10,183,5,El%20Salvador
2020-04-18,35,23,0.0,12.7,8,15,03:06 AM,03:01 PM,05:42 AM,06:10 PM,19,30,30,28,5,13,62,0.0,1013,35,10,189,4,El%20Salvador
2020-04-19,31,23,0.0,9.3,6,8,03:43 AM,03:48 PM,05:41 AM,06:11 PM,20,28,28,26,7,62,71,0.6,1013,31,10,197,6,El%20Salvador
2020-04-20,32,21,0.0,10.6,6,0,04:19 AM,04:33 PM,05:41 AM,06:11 PM,19,28,28,26,7,43,70,0.3,1012,32,10,198,6,El%20Salvador
2020-04-21,36,21,0.0,12.7,7,0,04:55 AM,05:19 PM,05:40 AM,06:11 PM,19,30,30,28,6,17,66,0.0,1012,36,10,186,5,El%20Salvador
2020-04-22,32,22,0.0,11.9,6,0,05:31 AM,06:04 PM,05:40 AM,06:11 PM,21,29,29,27,7,57,74,1.8,1012,32,10,193,6,El%20Salvador
2020-04-23,31,23,0.0,10.6,6,0,06:08 AM,06:52 PM,05:39 AM,06:11 PM,20,28,28,26,8,53,72,0.8,1011,31,10,182,6,El%20Salvador
