date_time,Myanmar_maxtempC,Myanmar_mintempC,Myanmar_totalSnow_cm,Myanmar_sunHour,Myanmar_uvIndex,Myanmar_moon_illumination,Myanmar_moonrise,Myanmar_moonset,Myanmar_sunrise,Myanmar_sunset,Myanmar_DewPointC,Myanmar_FeelsLikeC,Myanmar_HeatIndexC,Myanmar_WindChillC,Myanmar_WindGustKmph,Myanmar_cloudcover,Myanmar_humidity,Myanmar_precipMM,Myanmar_pressure,Myanmar_tempC,Myanmar_visibility,Myanmar_winddirDegree,Myanmar_windspeedKmph,Myanmar_location
2020-04-23,41,26,0.0,12.8,9,0,05:55 AM,06:38 PM,05:45 AM,06:23 PM,19,36,36,34,17,4,50,0.0,1008,41,10,223,13,Myanmar
2020-04-24,42,25,0.0,12.8,9,7,06:32 AM,07:28 PM,05:44 AM,06:23 PM,19,35,35,33,18,5,54,0.0,1008,42,10,229,13,Myanmar
2020-04-25,41,26,0.0,12.8,8,15,07:11 AM,08:18 PM,05:44 AM,06:23 PM,19,34,34,32,18,12,52,0.0,1009,41,10,232,13,Myanmar
2020-04-26,38,27,0.0,12.8,8,22,07:54 AM,09:12 PM,05:43 AM,06:23 PM,20,35,35,33,14,25,52,0.1,1010,38,10,239,10,Myanmar
2020-04-27,40,28,0.0,12.8,8,30,08:40 AM,10:06 PM,05:43 AM,06:24 PM,20,36,36,33,14,37,52,1.6,1010,40,10,230,11,Myanmar
2020-04-28,38,29,0.0,10.6,7,37,09:31 AM,11:01 PM,05:42 AM,06:24 PM,21,35,35,32,11,55,53,4.5,1010,38,10,234,9,Myanmar
2020-04-29,36,28,0.0,12.8,7,45,10:25 AM,11:55 PM,05:41 AM,06:24 PM,22,35,35,31,8,49,58,1.5,1010,36,10,167,6,Myanmar
2020-04-30,34,29,0.0,9.3,7,52,11:23 AM,No moonset,05:41 AM,06:24 PM,22,34,34,31,10,62,58,6.6,1010,34,10,195,7,Myanmar
2020-05-01,37,29,0.0,12.9,7,58,12:22 PM,12:46 AM,05:40 AM,06:25 PM,22,35,35,32,13,42,57,1.1,1008,37,10,257,10,Myanmar
2020-05-02,36,29,0.0,10.6,7,65,01:22 PM,01:37 AM,05:40 AM,06:25 PM,22,36,36,32,13,52,58,1.2,1007,36,10,237,10,Myanmar
2020-05-03,35,28,0.0,12.9,7,72,02:22 PM,02:23 AM,05:39 AM,06:25 PM,22,35,35,31,15,48,58,3.6,1008,35,10,256,11,Myanmar
2020-05-04,40,29,0.0,12.9,9,80,03:22 PM,03:09 AM,05:39 AM,06:26 PM,20,37,37,34,18,12,50,0.0,1008,40,10,257,14,Myanmar
2020-05-05,40,28,0.0,12.9,9,87,04:22 PM,03:54 AM,05:38 AM,06:26 PM,21,37,37,34,19,8,51,0.0,1007,40,10,254,15,Myanmar
2020-05-06,39,29,0.0,12.9,8,94,05:24 PM,04:39 AM,05:38 AM,06:26 PM,22,38,38,33,19,12,56,0.0,1007,39,10,239,15,Myanmar
2020-05-07,40,30,0.0,12.9,9,100,06:26 PM,05:26 AM,05:38 AM,06:26 PM,22,38,38,34,17,13,54,0.0,1006,40,10,239,14,Myanmar
2020-05-08,41,29,0.0,12.9,9,100,07:30 PM,06:14 AM,05:37 AM,06:27 PM,22,38,38,34,18,5,53,0.0,1005,41,10,235,14,Myanmar
2020-05-09,39,28,0.0,12.9,9,84,08:33 PM,07:07 AM,05:37 AM,06:27 PM,22,37,37,33,19,16,55,0.0,1006,39,10,211,15,Myanmar
2020-05-10,39,30,0.0,11.9,8,77,09:35 PM,08:02 AM,05:36 AM,06:27 PM,21,38,38,34,16,29,49,0.2,1007,39,10,215,13,Myanmar
2020-05-11,40,30,0.0,12.9,9,70,10:32 PM,08:58 AM,05:36 AM,06:28 PM,21,38,38,34,15,14,47,0.0,1008,40,10,215,12,Myanmar
