date_time,Italy_maxtempC,Italy_mintempC,Italy_totalSnow_cm,Italy_sunHour,Italy_uvIndex,Italy_moon_illumination,Italy_moonrise,Italy_moonset,Italy_sunrise,Italy_sunset,Italy_DewPointC,Italy_FeelsLikeC,Italy_HeatIndexC,Italy_WindChillC,Italy_WindGustKmph,Italy_cloudcover,Italy_humidity,Italy_precipMM,Italy_pressure,Italy_tempC,Italy_visibility,Italy_winddirDegree,Italy_windspeedKmph,Italy_location
2020-04-30,19,14,0.0,12.2,4,52,10:42 AM,01:13 AM,05:07 AM,07:08 PM,11,16,16,16,15,40,70,0.2,1014,19,10,174,12,Italy
2020-05-01,21,14,0.0,12.2,4,58,11:52 AM,01:56 AM,05:06 AM,07:09 PM,11,17,17,17,18,45,66,1.1,1013,21,10,192,13,Italy
2020-05-02,22,15,0.0,13.4,5,65,01:04 PM,02:34 AM,05:05 AM,07:10 PM,11,19,19,19,14,43,65,0.0,1010,22,10,229,11,Italy
2020-05-03,24,16,0.0,13.4,5,72,02:18 PM,03:08 AM,05:03 AM,07:11 PM,11,20,21,20,10,22,58,0.0,1013,24,10,160,8,Italy
2020-05-04,23,16,0.0,14.1,6,80,03:34 PM,03:39 AM,05:02 AM,07:12 PM,10,20,20,20,9,3,54,0.0,1018,23,10,142,7,Italy
2020-05-05,23,16,0.0,14.1,6,87,04:50 PM,04:08 AM,05:01 AM,07:14 PM,9,19,20,19,8,7,54,0.0,1017,23,10,146,7,Italy
2020-05-06,23,16,0.0,14.2,6,94,06:07 PM,04:38 AM,05:00 AM,07:15 PM,13,19,20,19,11,22,65,0.1,1014,23,10,183,9,Italy
2020-05-07,25,16,0.0,13.4,5,100,07:25 PM,05:10 AM,04:58 AM,07:16 PM,13,20,21,20,10,32,65,1.0,1018,25,10,177,8,Italy
2020-05-08,23,16,0.0,12.4,5,100,08:41 PM,05:46 AM,04:57 AM,07:17 PM,11,19,20,19,9,36,58,0.0,1022,23,10,190,7,Italy
2020-05-09,22,15,0.0,14.5,5,84,09:54 PM,06:27 AM,04:56 AM,07:18 PM,9,18,20,18,8,23,56,0.0,1018,22,10,135,7,Italy
2020-05-10,22,17,0.0,11.3,4,77,10:59 PM,07:16 AM,04:55 AM,07:19 PM,8,18,19,18,8,52,53,0.0,1012,22,10,114,6,Italy
2020-05-11,22,17,0.0,14.5,5,70,11:55 PM,08:10 AM,04:54 AM,07:20 PM,11,19,20,19,13,31,61,0.1,1008,22,10,178,10,Italy
2020-05-12,23,16,0.0,14.5,6,62,No moonrise,09:10 AM,04:53 AM,07:21 PM,12,20,20,20,17,22,62,0.7,1013,23,10,161,13,Italy
2020-05-13,26,18,0.0,14.5,5,55,12:41 AM,10:12 AM,04:52 AM,07:22 PM,10,21,21,21,23,22,51,0.3,1012,26,10,134,17,Italy
2020-05-14,28,19,0.0,9.2,5,48,01:19 AM,11:15 AM,04:51 AM,07:23 PM,11,23,23,23,24,83,51,3.1,1008,28,10,135,17,Italy
2020-05-15,24,19,0.0,14.5,6,40,01:51 AM,12:17 PM,04:50 AM,07:24 PM,10,21,21,21,13,18,51,0.0,1013,24,10,234,10,Italy
2020-05-16,25,17,0.0,14.5,6,33,02:17 AM,01:18 PM,04:49 AM,07:25 PM,9,22,22,21,15,48,46,0.0,1017,25,10,102,10,Italy
2020-05-17,27,20,0.0,12.4,5,26,02:42 AM,02:17 PM,04:48 AM,07:26 PM,12,24,24,24,12,59,48,0.2,1015,27,10,158,8,Italy
2020-05-18,30,21,0.0,13.5,6,19,03:05 AM,03:16 PM,04:47 AM,07:27 PM,13,24,24,24,16,57,52,2.5,1014,30,10,112,11,Italy
2020-05-19,23,18,0.0,12.4,5,11,03:28 AM,04:15 PM,04:46 AM,07:28 PM,14,20,21,20,16,47,69,0.2,1012,23,10,181,13,Italy
2020-05-20,24,17,0.0,10.3,5,4,03:50 AM,05:15 PM,04:45 AM,07:29 PM,13,20,21,20,11,74,66,5.3,1011,24,10,290,8,Italy
2020-05-21,27,17,0.0,14.5,6,0,04:15 AM,06:16 PM,04:44 AM,07:30 PM,8,21,21,21,24,9,48,0.0,1014,27,10,103,18,Italy
2020-05-22,26,17,0.0,14.5,6,0,04:43 AM,07:19 PM,04:43 AM,07:31 PM,7,22,22,21,13,3,40,0.0,1022,26,10,177,11,Italy
2020-05-23,27,18,0.0,14.5,6,3,05:16 AM,08:21 PM,04:42 AM,07:32 PM,11,23,23,22,9,8,52,0.0,1025,27,10,237,7,Italy
2020-05-24,25,19,0.0,14.5,6,10,05:54 AM,09:23 PM,04:42 AM,07:33 PM,12,23,23,22,12,11,55,0.0,1024,25,10,165,9,Italy
2020-05-25,26,19,0.0,11.4,5,17,06:39 AM,10:20 PM,04:41 AM,07:34 PM,13,23,23,22,7,37,56,0.5,1023,26,10,162,6,Italy
