date_time,Japan_maxtempC,Japan_mintempC,Japan_totalSnow_cm,Japan_sunHour,Japan_uvIndex,Japan_moon_illumination,Japan_moonrise,Japan_moonset,Japan_sunrise,Japan_sunset,Japan_DewPointC,Japan_FeelsLikeC,Japan_HeatIndexC,Japan_WindChillC,Japan_WindGustKmph,Japan_cloudcover,Japan_humidity,Japan_precipMM,Japan_pressure,Japan_tempC,Japan_visibility,Japan_winddirDegree,Japan_windspeedKmph,Japan_location
2020-04-30,29,20,0.0,6.0,6,52,11:30 AM,11:30 PM,05:34 AM,05:24 PM,23,28,28,25,13,72,87,23.7,1010,29,9,185,7,Japan
2020-05-01,30,21,0.0,7.4,6,58,12:23 PM,No moonset,05:34 AM,05:24 PM,23,29,29,25,19,72,84,9.5,1009,30,9,198,12,Japan
2020-05-02,30,23,0.0,10.2,6,65,01:15 PM,12:27 AM,05:34 AM,05:23 PM,23,29,29,26,19,43,83,3.4,1008,30,10,197,12,Japan
2020-05-03,30,23,0.0,10.2,6,72,02:05 PM,01:24 AM,05:34 AM,05:23 PM,23,29,29,26,15,50,84,11.5,1009,30,9,227,9,Japan
2020-05-04,31,24,0.0,10.2,6,80,02:54 PM,02:19 AM,05:34 AM,05:23 PM,23,30,30,27,6,61,83,9.6,1010,31,9,171,4,Japan
2020-05-05,31,23,0.0,10.2,6,87,03:43 PM,03:16 AM,05:34 AM,05:23 PM,23,30,30,26,9,59,82,7.4,1010,31,9,176,5,Japan
2020-05-06,30,24,0.0,8.8,6,94,04:32 PM,04:12 AM,05:35 AM,05:22 PM,23,29,29,26,19,64,85,13.0,1010,30,9,197,12,Japan
2020-05-07,30,21,0.0,10.2,6,100,05:24 PM,05:10 AM,05:35 AM,05:22 PM,23,29,29,25,24,49,86,8.5,1010,30,9,198,14,Japan
2020-05-08,31,20,0.0,10.2,6,100,06:18 PM,06:09 AM,05:35 AM,05:22 PM,23,30,30,26,20,39,83,13.2,1009,31,9,202,12,Japan
2020-05-09,31,23,0.0,7.4,6,84,07:14 PM,07:09 AM,05:35 AM,05:22 PM,24,30,30,26,17,64,87,33.8,1009,31,8,202,9,Japan
2020-05-10,29,23,0.0,10.2,6,77,08:12 PM,08:10 AM,05:35 AM,05:22 PM,23,29,29,25,11,63,87,21.9,1011,29,8,202,7,Japan
2020-05-11,30,22,0.0,8.8,6,70,09:09 PM,09:09 AM,05:35 AM,05:21 PM,24,29,29,26,16,57,88,26.9,1010,30,6,196,9,Japan
2020-05-12,29,23,0.0,10.2,6,62,10:05 PM,10:05 AM,05:35 AM,05:21 PM,23,28,28,25,20,59,86,0.9,1010,29,10,198,12,Japan
2020-05-13,30,23,0.0,10.2,6,55,10:58 PM,10:57 AM,05:35 AM,05:21 PM,23,29,29,26,16,40,83,5.8,1010,30,9,187,10,Japan
2020-05-14,30,21,0.0,10.2,6,48,11:48 PM,11:45 AM,05:36 AM,05:21 PM,22,28,28,25,25,63,83,8.0,1010,30,9,194,15,Japan
2020-05-15,31,23,0.0,8.8,6,40,No moonrise,12:29 PM,05:36 AM,05:21 PM,23,29,29,26,20,61,83,5.6,1009,31,9,190,12,Japan
2020-05-16,30,23,0.0,10.2,6,33,12:35 AM,01:10 PM,05:36 AM,05:21 PM,23,29,29,26,24,51,85,8.9,1008,30,9,198,14,Japan
2020-05-17,31,23,0.0,11.6,6,26,01:21 AM,01:49 PM,05:36 AM,05:21 PM,23,30,30,27,16,37,83,15.1,1007,31,9,226,9,Japan
2020-05-18,30,24,0.0,5.9,6,19,02:04 AM,02:26 PM,05:36 AM,05:20 PM,24,29,29,26,21,78,88,25.2,1008,30,7,202,12,Japan
2020-05-19,30,23,0.0,8.8,6,11,02:48 AM,03:04 PM,05:36 AM,05:20 PM,23,29,29,26,19,62,87,17.8,1009,30,9,200,11,Japan
2020-05-20,30,20,0.0,7.3,6,4,03:32 AM,03:43 PM,05:37 AM,05:20 PM,24,30,30,26,20,70,85,23.3,1009,30,9,205,12,Japan
2020-05-21,31,25,0.0,7.3,6,0,04:16 AM,04:23 PM,05:37 AM,05:20 PM,24,31,31,27,6,69,84,10.2,1009,31,10,165,4,Japan
2020-05-22,31,24,0.0,10.2,6,0,05:03 AM,05:06 PM,05:37 AM,05:20 PM,23,31,31,27,12,65,79,1.7,1009,31,10,181,8,Japan
2020-05-23,30,25,0.0,10.2,6,3,05:52 AM,05:52 PM,05:37 AM,05:20 PM,23,30,30,27,18,54,80,0.6,1010,30,10,192,12,Japan
2020-05-24,31,24,0.0,10.2,6,10,06:43 AM,06:41 PM,05:37 AM,05:20 PM,22,30,30,27,15,35,75,0.7,1011,31,10,182,10,Japan
2020-05-25,31,24,0.0,10.2,6,17,07:37 AM,07:34 PM,05:38 AM,05:20 PM,22,30,30,27,6,39,79,10.9,1012,31,9,191,4,Japan
2020-05-26,31,24,0.0,5.9,6,25,08:32 AM,08:29 PM,05:38 AM,05:20 PM,23,30,30,26,10,79,84,14.2,1011,31,9,215,6,Japan
